human_gene_id	human_gene_symbol	chimp_gene_id	chimp_gene_symbol	orthology_type	perc_id
ENSG00000059145	UNKL	ENSPTRG00000007591	UNKL	ortholog_one2one	99.3179
ENSG00000059378	PARP12	ENSPTRG00000019761	PARP12	ortholog_one2one	99.2867
ENSG00000059588	TARBP1	ENSPTRG00000002124	TARBP1	ortholog_one2one	98.9513
ENSG00000059691	GATB	ENSPTRG00000016513	GATB	ortholog_one2one	95.6912
ENSG00000060138	YBX3	ENSPTRG00000004681	YBX3	ortholog_one2one	100
ENSG00000060339	CCAR1	ENSPTRG00000002560	CCAR1	ortholog_one2one	99.913
ENSG00000060688	SNRNP40	ENSPTRG00000000455	SNRNP40	ortholog_one2one	100
ENSG00000061794	MRPS35	ENSPTRG00000004792	MRPS35	ortholog_one2one	99.0712
ENSG00000061936	SFSWAP	ENSPTRG00000005640	SFSWAP	ortholog_one2one	99.1588
ENSG00000062582	MRPS24	ENSPTRG00000019127	MRPS24	ortholog_one2one	98.8024
ENSG00000063046	EIF4B	ENSPTRG00000043800		ortholog_one2many	96.7267
ENSG00000063177	RPL18	ENSPTRG00000011245	RPL18	ortholog_one2one	100
ENSG00000063244	U2AF2	ENSPTRG00000011523	U2AF2	ortholog_one2one	100
ENSG00000064419	TNPO3	ENSPTRG00000019676	TNPO3	ortholog_one2one	100
ENSG00000064607	SUGP2	ENSPTRG00000010727	SUGP2	ortholog_one2one	99.3531
ENSG00000064703	DDX20	ENSPTRG00000001105	DDX20	ortholog_one2one	98.9078
ENSG00000065150	IPO5	ENSPTRG00000005984	IPO5	ortholog_one2one	100
ENSG00000065183	WDR3	ENSPTRG00000001168	WDR3	ortholog_one2one	99.4698
ENSG00000065427	KARS1	ENSPTRG00000008364	KARS1	ortholog_one2one	94.4724
ENSG00000065457	ADAT1	ENSPTRG00000008363	ADAT1	ortholog_one2one	98.8048
ENSG00000065526	SPEN	ENSPTRG00000000210	SPEN	ortholog_one2one	99.4814
ENSG00000065548	ZC3H15	ENSPTRG00000012717	ZC3H15	ortholog_one2one	99.7653
ENSG00000065978	YBX1	ENSPTRG00000006456		ortholog_one2many	94.7531
ENSG00000066044	ELAVL1	ENSPTRG00000010413	ELAVL1	ortholog_one2one	100
ENSG00000066651	TRMT11	ENSPTRG00000018577	TRMT11	ortholog_one2one	99.784
ENSG00000066654	THUMPD1	ENSPTRG00000007848	THUMPD1	ortholog_one2one	99.1501
ENSG00000067048	DDX3Y	ENSPTRG00000022488	DDX3Y	ortholog_one2one	98.3333
ENSG00000067248	DHX29	ENSPTRG00000016875	DHX29	ortholog_one2one	99.5617
ENSG00000067334	DNTTIP2	ENSPTRG00000000972	DNTTIP2	ortholog_one2one	99.7355
ENSG00000067533	RRP15	ENSPTRG00000039779	RRP15	ortholog_one2one	95.3901
ENSG00000067596	DHX8	ENSPTRG00000009246	DHX8	ortholog_one2one	100
ENSG00000067704	IARS2	ENSPTRG00000001997	IARS2	ortholog_one2one	99.6047
ENSG00000068784	SRBD1	ENSPTRG00000011889	SRBD1	ortholog_one2one	98.995
ENSG00000070047	PHRF1	ENSPTRG00000003125	PHRF1	ortholog_one2one	97.6349
ENSG00000070366	SMG6	ENSPTRG00000008544	SMG6	ortholog_one2one	98.3791
ENSG00000070756	PABPC1	ENSPTRG00000047939	PABPC1	ortholog_one2one	100
ENSG00000070785	EIF2B3	ENSPTRG00000000665	EIF2B3	ortholog_one2one	99.7788
ENSG00000070814	TCOF1	ENSPTRG00000017416	TCOF1	ortholog_one2one	98.5225
ENSG00000071082	RPL31	ENSPTRG00000030400		ortholog_one2one	100
ENSG00000071626	DAZAP1	ENSPTRG00000010199	DAZAP1	ortholog_one2one	95.086
ENSG00000071894	CPSF1	ENSPTRG00000049288	CPSF1	ortholog_one2many	99.7921
ENSG00000072364	AFF4	ENSPTRG00000017228	AFF4	ortholog_one2many	99.828
ENSG00000072756	TRNT1	ENSPTRG00000014564	TRNT1	ortholog_one2one	99.3088
ENSG00000072858	SIDT1	ENSPTRG00000015232	SIDT1	ortholog_one2one	99.6372
ENSG00000073146	MOV10L1	ENSPTRG00000044273	MOV10L1	ortholog_one2one	96.6969
ENSG00000073792	IGF2BP2	ENSPTRG00000015705	IGF2BP2	ortholog_one2one	100
ENSG00000074071	MRPS34	ENSPTRG00000007606	MRPS34	ortholog_one2one	100
ENSG00000074266	EED	ENSPTRG00000047379	EED	ortholog_one2one	100
ENSG00000074356	NCBP3	ENSPTRG00000008578	NCBP3	ortholog_one2one	99.8387
ENSG00000075151	EIF4G3	ENSPTRG00000000297	EIF4G3	ortholog_one2one	96.1609
ENSG00000075292	ZNF638	ENSPTRG00000012048	ZNF638	ortholog_one2one	98.8878
ENSG00000075856	SART3	ENSPTRG00000005404	SART3	ortholog_one2one	99.7923
ENSG00000075914	EXOSC7	ENSPTRG00000014830	EXOSC7	ortholog_one2one	98.9691
ENSG00000075975	MKRN2	ENSPTRG00000014634	MKRN2	ortholog_one2one	97.8365
ENSG00000076043	REXO2	ENSPTRG00000004306	REXO2	ortholog_one2one	100
ENSG00000076053	RBM7	ENSPTRG00000049329		ortholog_one2many	88.3895
ENSG00000076067	RBMS2	ENSPTRG00000005104	RBMS2	ortholog_one2one	99.7543
ENSG00000076108	BAZ2A	ENSPTRG00000005106	BAZ2A	ortholog_one2one	99.5796
ENSG00000076650	GPATCH1	ENSPTRG00000010803	GPATCH1	ortholog_one2one	98.8185
ENSG00000076770	MBNL3	ENSPTRG00000022280	MBNL3	ortholog_one2one	98.8701
ENSG00000076924	XAB2	ENSPTRG00000010395	XAB2	ortholog_one2one	100
ENSG00000077312	SNRPA	ENSPTRG00000011007	SNRPA	ortholog_one2one	99.6454
ENSG00000077348	EXOSC5	ENSPTRG00000011024	EXOSC5	ortholog_one2one	98.7234
ENSG00000078328	RBFOX1	ENSPTRG00000007744	RBFOX1	ortholog_one2one	86.1461
ENSG00000078687	TNRC6C	ENSPTRG00000009699	TNRC6C	ortholog_one2one	99.7417
ENSG00000079134	THOC1	ENSPTRG00000009816	THOC1	ortholog_one2one	99.6956
ENSG00000079313	REXO1	ENSPTRG00000010213	REXO1	ortholog_one2one	95.086
ENSG00000079785	DDX1	ENSPTRG00000011670	DDX1	ortholog_one2one	99.8649
ENSG00000080007	DDX43	ENSPTRG00000018344	DDX43	ortholog_one2one	99.0741
ENSG00000080572	DNAAF6	ENSPTRG00000022160	DNAAF6	ortholog_one2one	99.0654
ENSG00000080608	PUM3	ENSPTRG00000020735	PUM3	ortholog_one2one	99.3827
ENSG00000080802	CNOT4	ENSPTRG00000019727	CNOT4	ortholog_one2one	99.7195
ENSG00000082153	BZW1	ENSPTRG00000012791	BZW1	ortholog_one2one	100
ENSG00000082258	CCNT2	ENSPTRG00000024043	CCNT2	ortholog_one2one	99.726
ENSG00000082515	MRPL22	ENSPTRG00000051589	MRPL22	ortholog_one2one	99.5146
ENSG00000082516	GEMIN5	ENSPTRG00000017452	GEMIN5	ortholog_one2one	99.4032
ENSG00000082898	XPO1	ENSPTRG00000011962	XPO1	ortholog_one2one	99.9066
ENSG00000083223	TUT7	ENSPTRG00000021076	TUT7	ortholog_one2one	99.6656
ENSG00000083312	TNPO1	ENSPTRG00000016972	TNPO1	ortholog_one2one	100
ENSG00000083520	DIS3	ENSPTRG00000005926	DIS3	ortholog_one2one	99.4781
ENSG00000083544	TDRD3	ENSPTRG00000005918	TDRD3	ortholog_one2one	99.328
ENSG00000083635	NUFIP1	ENSPTRG00000005838	NUFIP1	ortholog_one2many	98.9899
ENSG00000083845	RPS5	ENSPTRG00000011591	RPS5	ortholog_one2one	100
ENSG00000084072	PPIE	ENSPTRG00000000577	PPIE	ortholog_one2one	93.3555
ENSG00000084092	NOA1	ENSPTRG00000016088	NOA1	ortholog_one2one	99.4269
ENSG00000084623	EIF3I	ENSPTRG00000000476	EIF3I	ortholog_one2one	100
ENSG00000085231	AK6	ENSPTRG00000016949	AK6	ortholog_one2one	100
ENSG00000085760	MTIF2	ENSPTRG00000011929	MTIF2	ortholog_one2one	99.1747
ENSG00000085872	CHERP	ENSPTRG00000010647	CHERP	ortholog_one2one	100
ENSG00000086102	NFX1	ENSPTRG00000020858	NFX1	ortholog_one2one	100
ENSG00000086189	DIMT1	ENSPTRG00000016914	DIMT1	ortholog_one2one	100
ENSG00000086200	IPO11	ENSPTRG00000016915	IPO11	ortholog_one2one	99.7949
ENSG00000086232	EIF2AK1	ENSPTRG00000049217	EIF2AK1	ortholog_one2many	97.4603
ENSG00000086504	MRPL28	ENSPTRG00000047553	MRPL28	ortholog_one2one	99.2188
ENSG00000086589	RBM22	ENSPTRG00000017423	RBM22	ortholog_one2one	97.1429
ENSG00000087087	SRRT	ENSPTRG00000019511	SRRT	ortholog_one2one	99.2009
ENSG00000087269	NOP14	ENSPTRG00000015852	NOP14	ortholog_one2one	94.5158
ENSG00000087365	SF3B2	ENSPTRG00000003912	SF3B2	ortholog_one2one	98.6592
ENSG00000087995	METTL2A	ENSPTRG00000009504	METTL2A	ortholog_one2one	97.8836
ENSG00000088038	CNOT3	ENSPTRG00000011444	CNOT3	ortholog_one2many	100
ENSG00000088205	DDX18	ENSPTRG00000012391	DDX18	ortholog_one2one	98.3582
ENSG00000088247	KHSRP	ENSPTRG00000010364	KHSRP	ortholog_one2one	95.5823
ENSG00000088305	DNMT3B	ENSPTRG00000013384	DNMT3B	ortholog_one2one	100
ENSG00000088930	XRN2	ENSPTRG00000013308	XRN2	ortholog_one2one	99.7895
ENSG00000088986	DYNLL1	ENSPTRG00000005536	DYNLL1	ortholog_one2one	100
ENSG00000089009	RPL6	ENSPTRG00000052060	RPL6	ortholog_one2many	100
ENSG00000089048	ESF1	ENSPTRG00000013258	ESF1	ortholog_one2one	98.4724
ENSG00000089127	OAS1	ENSPTRG00000005477	OAS1	ortholog_one2one	82.25
ENSG00000089157	RPLP0	ENSPTRG00000044613	RPLP0	ortholog_one2one	100
ENSG00000089195	TRMT6	ENSPTRG00000013231	TRMT6	ortholog_one2one	99.5976
ENSG00000089280	FUS	ENSPTRG00000008038	FUS	ortholog_one2one	98.6692
ENSG00000089682	RBM41	ENSPTRG00000022158	RBM41	ortholog_one2one	98.1693
ENSG00000089737	DDX24	ENSPTRG00000006673	DDX24	ortholog_one2one	99.0687
ENSG00000089876	DHX32	ENSPTRG00000003044	DHX32	ortholog_one2one	99.7308
ENSG00000090060	PAPOLA	ENSPTRG00000006704	PAPOLA	ortholog_one2one	100
ENSG00000090097	PCBP4	ENSPTRG00000014983	PCBP4	ortholog_one2one	100
ENSG00000090263	MRPS33	ENSPTRG00000051927	MRPS33	ortholog_one2many	100
ENSG00000090470	PDCD7	ENSPTRG00000045629	PDCD7	ortholog_one2one	100
ENSG00000090621	PABPC4	ENSPTRG00000000573	PABPC4	ortholog_one2one	100
ENSG00000090861	AARS1	ENSPTRG00000008297	AARS1	ortholog_one2one	99.7934
ENSG00000090905	TNRC6A	ENSPTRG00000007898	TNRC6A	ortholog_one2one	97.1458
ENSG00000091009	RBM27	ENSPTRG00000017373	RBM27	ortholog_one2one	99.8113
ENSG00000091127	PUS7	ENSPTRG00000019565	PUS7	ortholog_one2many	100
ENSG00000091542	ALKBH5	ENSPTRG00000024216	ALKBH5	ortholog_one2one	100
ENSG00000091732	ZC3HC1	ENSPTRG00000019685	ZC3HC1	ortholog_one2one	99.4024
ENSG00000092199	HNRNPC	ENSPTRG00000006118	HNRNPC	ortholog_one2one	100
ENSG00000092208	GEMIN2	ENSPTRG00000006291	GEMIN2	ortholog_one2one	100
ENSG00000092345	DAZL	ENSPTRG00000014674	DAZL	ortholog_one2one	99.661
ENSG00000092847	AGO1	ENSPTRG00000000528	AGO1	ortholog_one2one	98.9498
ENSG00000093167	LRRFIP2	ENSPTRG00000014745	LRRFIP2	ortholog_one2one	99.5839
ENSG00000095485	CWF19L1	ENSPTRG00000002843	CWF19L1	ortholog_one2one	99.0706
ENSG00000095627	TDRD1	ENSPTRG00000002958	TDRD1	ortholog_one2one	99.1525
ENSG00000096080	MRPS18A	ENSPTRG00000018209	MRPS18A	ortholog_one2one	99.4898
ENSG00000096401	CDC5L	ENSPTRG00000018224	CDC5L	ortholog_one2one	99.8753
ENSG00000096746	HNRNPH3	ENSPTRG00000002553	HNRNPH3	ortholog_one2one	100
ENSG00000099381	SETD1A	ENSPTRG00000008024	SETD1A	ortholog_one2one	99.5313
ENSG00000099622	CIRBP	ENSPTRG00000010192	CIRBP	ortholog_one2one	71.0438
ENSG00000099783	HNRNPM	ENSPTRG00000010424	HNRNPM	ortholog_one2one	99.589
ENSG00000099817	POLR2E	ENSPTRG00000010183	POLR2E	ortholog_one2one	99.5238
ENSG00000099821	POLRMT	ENSPTRG00000010157	POLRMT	ortholog_one2one	97.6423
ENSG00000099899	TRMT2A	ENSPTRG00000014074	TRMT2A	ortholog_one2one	99.2
ENSG00000099995	SF3A1	ENSPTRG00000014240	SF3A1	ortholog_one2one	100
ENSG00000100028	SNRPD3	ENSPTRG00000014176	SNRPD3	ortholog_one2one	100
ENSG00000100029	PES1	ENSPTRG00000014251	PES1	ortholog_one2one	99.3197
ENSG00000100038	TOP3B	ENSPTRG00000014122	TOP3B	ortholog_one2one	99.884
ENSG00000100056	ESS2	ENSPTRG00000014055	ESS2	ortholog_one2one	99.7899
ENSG00000100109	TFIP11	ENSPTRG00000014196	TFIP11	ortholog_one2one	99.8805
ENSG00000100129	EIF3L	ENSPTRG00000014352	EIF3L	ortholog_one2one	100
ENSG00000100138	SNU13	ENSPTRG00000052851	SNU13	ortholog_one2one	100
ENSG00000100142	POLR2F	ENSPTRG00000014356	POLR2F	ortholog_one2one	80.315
ENSG00000100201	DDX17	ENSPTRG00000014369	DDX17	ortholog_one2one	96.1591
ENSG00000100220	RTCB	ENSPTRG00000014287	RTCB	ortholog_one2one	100
ENSG00000100226	GTPBP1	ENSPTRG00000014376	GTPBP1	ortholog_one2one	100
ENSG00000100227	POLDIP3	ENSPTRG00000014460	POLDIP3	ortholog_one2one	99.5249
ENSG00000100296	THOC5	ENSPTRG00000014225	THOC5	ortholog_one2one	99.7072
ENSG00000100298	APOBEC3H	ENSPTRG00000014390	APOBEC3H	ortholog_one2one	94.5355
ENSG00000100319	ZMAT5	ENSPTRG00000014229	ZMAT5	ortholog_one2one	100
ENSG00000100320	RBFOX2	ENSPTRG00000014305	RBFOX2	ortholog_one2one	99.1051
ENSG00000100353	EIF3D	ENSPTRG00000014313	EIF3D	ortholog_one2one	100
ENSG00000100354	TNRC6B	ENSPTRG00000047826	TNRC6B	ortholog_one2one	99.6727
ENSG00000100403	ZC3H7B	ENSPTRG00000014424	ZC3H7B	ortholog_one2one	96.4176
ENSG00000100410	PHF5A	ENSPTRG00000014427	PHF5A	ortholog_one2one	100
ENSG00000100416	TRMU	ENSPTRG00000014510	TRMU	ortholog_one2one	99.5249
ENSG00000100441	KHNYN	ENSPTRG00000006221	KHNYN	ortholog_one2one	99.2625
ENSG00000100461	RBM23	ENSPTRG00000006151	RBM23	ortholog_one2one	98.1777
ENSG00000100601	ALKBH1	ENSPTRG00000006586	ALKBH1	ortholog_one2one	99.7429
ENSG00000100603	SNW1	ENSPTRG00000052741		ortholog_one2one	50.5597
ENSG00000100650	SRSF5	ENSPTRG00000006488	SRSF5	ortholog_one2one	100
ENSG00000100664	EIF5	ENSPTRG00000006753	EIF5	ortholog_one2one	99.768
ENSG00000100697	DICER1	ENSPTRG00000023484	DICER1	ortholog_one2one	99.7919
ENSG00000100722	ZC3H14	ENSPTRG00000006608	ZC3H14	ortholog_one2one	99.8641
ENSG00000100813	ACIN1	ENSPTRG00000006159	ACIN1	ortholog_one2one	99.5323
ENSG00000100823	APEX1	ENSPTRG00000006093	APEX1	ortholog_one2one	99.6855
ENSG00000100836	PABPN1	ENSPTRG00000052729		ortholog_one2many	77.1242
ENSG00000100883	SRP54	ENSPTRG00000006259	FAM177A1	ortholog_one2one	100
ENSG00000100890	PRORP	ENSPTRG00000006263	PRORP	ortholog_one2one	98.9708
ENSG00000100902	PSMA6	ENSPTRG00000006264	PSMA6	ortholog_one2one	100
ENSG00000100941	PNN	ENSPTRG00000006293	PNN	ortholog_one2one	99.4421
ENSG00000101104	PABPC1L	ENSPTRG00000013531	PABPC1L	ortholog_one2one	52.6656
ENSG00000101138	CSTF1	ENSPTRG00000013647	CSTF1	ortholog_one2one	100
ENSG00000101146	RAE1	ENSPTRG00000013658	RAE1	ortholog_one2one	100
ENSG00000101161	PRPF6	ENSPTRG00000013765	PRPF6	ortholog_one2one	100
ENSG00000101210	EEF1A2	ENSPTRG00000013737	EEF1A2	ortholog_one2one	100
ENSG00000101343	CRNKL1	ENSPTRG00000030609	CRNKL1	ortholog_one2one	99.8544
ENSG00000101347	SAMHD1	ENSPTRG00000013468	SAMHD1	ortholog_one2one	99.361
ENSG00000101361	NOP56	ENSPTRG00000013179	NOP56	ortholog_one2one	98.8215
ENSG00000101391	CDK5RAP1	ENSPTRG00000013399	CDK5RAP1	ortholog_one2one	99.1482
ENSG00000101452	DHX35	ENSPTRG00000013497	DHX35	ortholog_one2one	98.5775
ENSG00000101489	CELF4	ENSPTRG00000009982	CELF4	ortholog_one2one	100
ENSG00000101654	RNMT	ENSPTRG00000009890	RNMT	ortholog_one2one	99.1597
ENSG00000101665	SMAD7	ENSPTRG00000010010	SMAD7	ortholog_one2one	99.5305
ENSG00000101782	RIOK3	ENSPTRG00000009918	RIOK3	ortholog_one2one	99.8073
ENSG00000101811	CSTF2	ENSPTRG00000022090	CSTF2	ortholog_one2one	100
ENSG00000101888	NXT2	ENSPTRG00000039310	NXT2	ortholog_one2one	100
ENSG00000101916	TLR8	ENSPTRG00000021667	TLR8	ortholog_one2one	99.5197
ENSG00000102053	ZC3H12B	ENSPTRG00000021969	ZC3H12B	ortholog_one2one	99.7608
ENSG00000102081	FMR1	ENSPTRG00000022349	FMR1	ortholog_one2one	99.8418
ENSG00000102103	PQBP1	ENSPTRG00000021873	PQBP1	ortholog_one2one	100
ENSG00000102241	HTATSF1	ENSPTRG00000044591	HTATSF1	ortholog_one2one	99.8675
ENSG00000102309	PIN4	ENSPTRG00000049495	PIN4	ortholog_one2one	100
ENSG00000102317	RBM3	ENSPTRG00000021864	RBM3	ortholog_one2one	100
ENSG00000102699	PARP4	ENSPTRG00000005711	PARP4	ortholog_one2one	98.0858
ENSG00000102738	MRPS31	ENSPTRG00000005808	MRPS31	ortholog_one2one	98.9873
ENSG00000102786	INTS6	ENSPTRG00000005890	INTS6	ortholog_one2one	99.8873
ENSG00000102898	NUTF2	ENSPTRG00000008248	NUTF2	ortholog_one2one	100
ENSG00000102921	N4BP1	ENSPTRG00000008096	N4BP1	ortholog_one2one	99.5536
ENSG00000103005	USB1	ENSPTRG00000008172	USB1	ortholog_one2one	91.6981
ENSG00000103067	ESRP2	ENSPTRG00000008261	ESRP2	ortholog_one2one	99.7211
ENSG00000103194	USP10	ENSPTRG00000046667		ortholog_one2one	83.208
ENSG00000103248	MTHFSD	ENSPTRG00000008440	MTHFSD	ortholog_one2one	91.1227
ENSG00000103319	EEF2K	ENSPTRG00000007877	EEF2K	ortholog_one2one	98.8966
ENSG00000103342	GSPT1	ENSPTRG00000007779	GSPT1	ortholog_one2one	80.2198
ENSG00000103356	EARS2	ENSPTRG00000007887	EARS2	ortholog_one2one	99.044
ENSG00000103495	MAZ	ENSPTRG00000007968	MAZ	ortholog_one2one	90.9853
ENSG00000103510	KAT8	ENSPTRG00000008034	KAT8	ortholog_one2one	95.4148
ENSG00000103707	MTFMT	ENSPTRG00000007171	MTFMT	ortholog_one2one	99.7429
ENSG00000103994	ZNF106	ENSPTRG00000006974	ZNF106	ortholog_one2one	97.744
ENSG00000104129	DNAJC17	ENSPTRG00000006929	DNAJC17	ortholog_one2one	99.3421
ENSG00000104131	EIF3J	ENSPTRG00000051845	EIF3J	ortholog_one2one	99.2248
ENSG00000104177	MYEF2	ENSPTRG00000007042	MYEF2	ortholog_one2one	99.1667
ENSG00000104299	INTS9	ENSPTRG00000020125	INTS9	ortholog_one2one	92.5532
ENSG00000104356	POP1	ENSPTRG00000020458	POP1	ortholog_one2one	99.3164
ENSG00000104408	EIF3E	ENSPTRG00000049430		ortholog_one2many	34.1573
ENSG00000104413	ESRP1	ENSPTRG00000020430	ESRP1	ortholog_one2one	100
ENSG00000104529	EEF1D	ENSPTRG00000020660	EEF1D	ortholog_one2one	98.2998
ENSG00000104613	INTS10	ENSPTRG00000049064	INTS10	ortholog_one2one	99.8592
ENSG00000104626	ERI1	ENSPTRG00000050102	ERI1	ortholog_one2one	77.3639
ENSG00000104679	R3HCC1	ENSPTRG00000020076	R3HCC1	ortholog_one2one	98.6364
ENSG00000104824	HNRNPL	ENSPTRG00000010941	HNRNPL	ortholog_one2one	100
ENSG00000104835	SARS2	ENSPTRG00000010947	SARS2	ortholog_one2one	99.0348
ENSG00000104852	SNRNP70	ENSPTRG00000011277	SNRNP70	ortholog_one2one	100
ENSG00000104859	CLASRP	ENSPTRG00000022583	CLASRP	ortholog_one2one	91.0979
ENSG00000104872	PIH1D1	ENSPTRG00000011295	PIH1D1	ortholog_one2one	96.2069
ENSG00000104889	RNASEH2A	ENSPTRG00000010542	RNASEH2A	ortholog_one2one	98.3278
ENSG00000104897	SF3A2	ENSPTRG00000010227	SF3A2	ortholog_one2one	100
ENSG00000104907	TRMT1	ENSPTRG00000010557	TRMT1	ortholog_one2one	99.5448
ENSG00000104967	NOVA2	ENSPTRG00000011173	NOVA2	ortholog_one2one	100
ENSG00000105127	AKAP8	ENSPTRG00000010620	AKAP8	ortholog_one2one	99.422
ENSG00000105171	POP4	ENSPTRG00000010779	POP4	ortholog_one2one	99.5455
ENSG00000105193	RPS16	ENSPTRG00000010970	RPS16	ortholog_one2many	100
ENSG00000105202	FBL	ENSPTRG00000010982	FBL	ortholog_one2many	97.8193
